City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,guangyuan,32.442,105.823,21.09,88,99,0.18,CN,1694654011
109,ararat,39.8317,44.7049,11.19,75,2,1.9,AM,1694653915
110,nuku'alofa,-21.1333,-175.2,26.19,73,75,6.17,TO,1694653994
111,margaret river,-33.95,115.0667,14.6,67,100,7.81,AU,1694654012
112,daru,-9.0763,143.2092,25.77,77,83,8.44,PG,1694654012
113,tiksi,71.6872,128.8694,5.28,86,100,0.79,RU,1694654012
114,dogondoutchi,13.6393,4.0287,28.81,65,100,4.39,NE,1694654013
115,zardob,40.2183,47.7083,16.67,86,70,2.36,AZ,1694654013
116,happy valley-goose bay,53.3168,-60.3315,13.17,82,75,1.54,CA,1694654013
117,tura,25.5198,90.2201,24.18,91,5,2.24,IN,1694654013
118,saint-pierre,-21.3393,55.4781,19.82,64,0,3.09,RE,1694654014
119,holualoa,19.6228,-155.9522,27.91,71,75,5.14,US,1694654014
120,santa cruz,-17.8,-63.1667,18.7,37,75,6.69,BO,1694653916
121,turpan,42.9333,89.1667,26.1,31,9,1.57,CN,1694654014
122,monguno,12.6786,13.6079,25.93,78,100,5.27,NG,1694654015
123,uturoa,-16.7333,-151.4333,25.22,78,87,9.91,PF,1694654015
124,dalmatovo,56.26,62.9362,10.98,80,100,2.75,RU,1694654015
125,rongelap,11.1635,166.8941,28.49,78,7,6.01,MH,1694654015
126,novyy urgal,51.0736,132.5642,7.86,82,100,1.53,RU,1694654016
127,buka,40.8108,69.1986,13.0,41,0,1.95,UZ,1694654016
128,papao,-17.75,-149.55,26.82,75,81,11.71,PF,1694654016
129,hengyang,26.8881,112.615,21.62,95,100,1.76,CN,1694654016
130,seminole,28.7086,-81.2081,28.05,91,0,1.54,US,1694654016
131,kuraymah,18.55,31.85,32.11,25,81,5.89,SD,1694654017
132,yuzhno-kurilsk,44.0306,145.8556,17.01,96,100,1.88,RU,1694654017
133,lebu,-37.6167,-73.65,10.73,95,100,11.1,CL,1694654017
134,malango,-2.9627,119.9001,25.27,51,66,1.63,ID,1694654018
135,douentza,14.9951,-2.9517,30.58,54,100,3.1,ML,1694654018
136,vilyuysk,63.7553,121.6247,3.08,96,100,3.8,RU,1694654018
137,touros,-5.1989,-35.4608,24.83,83,33,6.57,BR,1694654018
138,arraial do cabo,-22.9661,-42.0278,21.98,88,0,12.4,BR,1694654018
139,juneau,58.3019,-134.4197,12.0,90,100,8.75,US,1694653790
140,qaqortoq,60.7167,-46.0333,4.77,69,100,2.01,GL,1694654019
141,hailar,49.2,119.7,11.91,45,96,1.54,CN,1694654019
142,tvoroyri,61.5556,-6.8111,10.48,77,100,13.56,FO,1694654019
143,tofol,5.3248,163.0078,28.83,76,87,7.01,FM,1694654019
144,mirny,62.5353,113.9611,1.8,93,100,5.81,RU,1694654020
145,lompoc,34.6391,-120.4579,22.79,88,100,5.14,US,1694654020
146,vorgashor,67.5833,63.95,8.57,87,48,6.52,RU,1694654020
147,kalmunai,7.4167,81.8167,26.24,77,100,4.48,LK,1694654020
148,kangding,30.0513,101.9603,16.37,70,10,1.91,CN,1694654021
149,glace bay,46.1969,-59.957,19.49,96,100,0.89,CA,1694654021
150,caconda,-13.7333,15.0667,17.42,27,11,1.52,AO,1694654021
151,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,68,75,1.0,RU,1694654021
152,callao,-12.0667,-77.15,18.73,82,100,7.2,PE,1694654021
153,ilulissat,69.2167,-51.1,8.01,61,100,6.17,GL,1694654022
154,caleta de carquin,-11.0925,-77.6267,18.63,84,48,6.18,PE,1694654022
155,st. john's,47.5649,-52.7093,16.1,97,100,3.6,CA,1694653930
156,marchena,37.329,-5.4168,22.53,68,8,1.01,ES,1694654022
157,kapa'a,22.0752,-159.319,28.99,80,100,4.63,US,1694654022
158,westport,41.1415,-73.3579,22.88,91,40,0.45,US,1694654023
159,sitia,35.2,26.0986,24.43,63,0,6.1,GR,1694654023
160,kailua-kona,19.6406,-155.9956,29.98,70,75,5.14,US,1694653769
161,nouadhibou,20.931,-17.0347,22.99,73,8,6.17,MR,1694654023
162,veraval,20.9,70.3667,26.49,87,100,3.67,IN,1694654024
163,ashland,40.8167,-82.2665,14.43,92,40,2.71,US,1694654024
164,yashkul',46.1711,45.3435,17.81,47,91,2.2,RU,1694654024
165,san andres,12.5847,-81.7006,30.01,74,20,2.57,CO,1694654024
166,simanggang,1.2472,111.4528,26.99,89,20,2.06,MY,1694654024
167,tanumah,27.1,44.1333,28.75,16,100,4.28,SA,1694654025
168,yei,4.095,30.6779,18.74,98,97,1.83,SS,1694654025
169,zheshart,62.0731,49.5733,8.44,97,5,2.19,RU,1694654025
170,urumqi,43.801,87.6005,15.53,67,0,3.0,CN,1694654025
171,nieuw amsterdam,5.8833,-55.0833,28.09,83,29,3.87,SR,1694654025
172,bereket,39.2446,55.5154,20.06,32,41,4.48,TM,1694654026
173,katsuura,35.1333,140.3,27.77,76,7,3.22,JP,1694654026
174,olonkinbyen,70.9221,-8.7187,3.99,74,24,5.47,SJ,1694654026
175,igarka,67.4667,86.5833,11.46,84,100,6.56,RU,1694654026
